ticker,fiscal_year,metric,requirement,final_status,final_provider,final_value,final_currency,final_field,final_filing_date,final_accession,dual_run_classification,sec_value,sec_field,edgartools_value,edgartools_field,reason,dependent_metrics_unavailable
AAPL,2024,inventory,CONDITIONAL,PASS,edgartools,7286000000.0,USD,us-gaap:InventoryNet,2025-10-31,0000320193-25-000079,VALUE_MATCH,7286000000,us-gaap:InventoryNet,7286000000.0,us-gaap:InventoryNet,,
AAPL,2024,long_term_debt,REQUIRED,PASS,edgartools,85750000000.0,USD,us-gaap:LongTermDebtNoncurrent,2025-10-31,0000320193-25-000079,VALUE_MATCH,85750000000,us-gaap:LongTermDebtNoncurrent,85750000000.0,us-gaap:LongTermDebtNoncurrent,,
AAPL,2024,net_income,REQUIRED,PASS,edgartools,93736000000.0,USD,us-gaap:NetIncomeLoss,2025-10-31,0000320193-25-000079,VALUE_MATCH,93736000000,us-gaap:NetIncomeLoss,93736000000.0,us-gaap:NetIncomeLoss,,
AAPL,2024,operating_cash_flow,REQUIRED,PASS,edgartools,118254000000.0,USD,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,0000320193-25-000079,VALUE_MATCH,118254000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,118254000000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,,
AAPL,2024,operating_income,REQUIRED,PASS,edgartools,123216000000.0,USD,us-gaap:OperatingIncomeLoss,2025-10-31,0000320193-25-000079,VALUE_MATCH,123216000000,us-gaap:OperatingIncomeLoss,123216000000.0,us-gaap:OperatingIncomeLoss,,
AAPL,2024,ppe_net,REQUIRED,PASS,edgartools,45680000000.0,USD,us-gaap:PropertyPlantAndEquipmentNet,2025-10-31,0000320193-25-000079,VALUE_MATCH,45680000000,us-gaap:PropertyPlantAndEquipmentNet,45680000000.0,us-gaap:PropertyPlantAndEquipmentNet,,
AAPL,2024,revenue,REQUIRED,PASS,edgartools,391035000000.0,USD,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,0000320193-25-000079,VALUE_MATCH,391035000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,391035000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,,
AAPL,2024,shareholders_equity,REQUIRED,PASS,edgartools,56950000000.0,USD,us-gaap:StockholdersEquity,2025-10-31,0000320193-25-000079,VALUE_MATCH,56950000000,us-gaap:StockholdersEquity,56950000000.0,us-gaap:StockholdersEquity,,
AAPL,2024,short_term_debt,REQUIRED,PASS,edgartools,10912000000.0,USD,aggregation:us-gaap:LongTermDebtCurrent,2025-10-31,0000320193-25-000079,VALUE_MATCH,10912000000,aggregation:us-gaap:LongTermDebtCurrent,10912000000.0,aggregation:us-gaap:LongTermDebtCurrent,,
AAPL,2024,total_assets,REQUIRED,PASS,edgartools,364980000000.0,USD,us-gaap:Assets,2025-10-31,0000320193-25-000079,VALUE_MATCH,364980000000,us-gaap:Assets,364980000000.0,us-gaap:Assets,,
AAPL,2024,total_liabilities,REQUIRED,PASS,edgartools,308030000000.0,USD,us-gaap:Liabilities,2025-10-31,0000320193-25-000079,VALUE_MATCH,308030000000,us-gaap:Liabilities,308030000000.0,us-gaap:Liabilities,,
AAPL,2025,accounts_payable,REQUIRED,PASS,edgartools,69860000000.0,USD,us-gaap:AccountsPayableCurrent,2025-10-31,0000320193-25-000079,VALUE_MATCH,69860000000,us-gaap:AccountsPayableCurrent,69860000000.0,us-gaap:AccountsPayableCurrent,,
